% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.204214	12	47	0	6.74803e-06	1.42261e+10	0
0.204214	13	22	0	2.70103e-10	569427	0
0.204214	13	48	0	6.74803e-06	1.42261e+10	0
0.205214	1	2	0	3.40422e-10	717673	0
0.205214	1	5	0	4.04021e-10	851750	0
0.205214	2	35	0	4.74097e-10	999484	0
0.205214	2	37	0	5.58587e-10	1.17761e+06	0
0.205214	2	39	0	3.61443e-10	761988	0
0.205214	3	1	0	4.61741e-10	973435	0
0.205214	3	3	0	3.83192e-10	807839	0
0.205214	3	7	0	3.80542e-10	802254	0
0.205214	3	8	0	6.56242e-10	1.38348e+06	0
0.205214	3	9	0	4.98243e-10	1.05039e+06	0
0.205214	3	10	0	2.98802e-10	629930	0
0.205214	3	13	0	3.70747e-10	781604	0
0.205214	3	14	0	4.05627e-10	855137	0
0.205214	3	15	0	4.34232e-10	915441	0
0.205214	3	25	0	2.989e-10	630136	0
0.205214	3	26	0	3.20228e-10	675101	0
0.205214	3	27	0	3.2352e-10	682041	0
0.205214	3	28	0	3.96284e-10	835440	0
0.205214	3	31	0	4.13773e-10	872311	0
0.205214	3	32	0	4.35816e-10	918780	0
0.205214	3	33	0	3.36998e-10	710455	0
0.205214	3	34	0	3.56624e-10	751830	0
0.205214	3	40	0	2.72652e-10	574801	0
0.205214	3	49	0	4.76199e-10	1.00392e+06	0
0.205214	3	52	0	2.42388e-10	510999	0
0.205214	3	53	0	3.66605e-10	772872	0
0.205214	3	54	0	4.41892e-10	931590	0
0.205214	3	55	0	3.1626e-10	666735	0
0.205214	3	56	0	3.20964e-10	676652	0
0.205214	3	58	0	3.92871e-10	828244	0
0.205214	3	59	0	3.30318e-10	696371	0
0.205214	3	60	0	3.9706e-10	837076	0
0.205214	4	21	0	5.23331e-10	1.10328e+06	0
0.205214	4	23	0	5.39581e-10	1.13754e+06	0
0.205214	4	24	0	5.91134e-10	1.24622e+06	0
0.205214	4	29	0	3.18666e-10	671808	0
0.205214	4	30	0	8.85416e-10	1.86662e+06	0
0.205214	5	11	0	5.1421e-10	1.08405e+06	0
0.205214	5	12	0	5.82023e-10	1.22701e+06	0
0.205214	5	18	0	5.20148e-10	1.09657e+06	0
0.205214	5	19	0	3.27302e-10	690013	0
0.205214	5	51	0	4.17856e-10	880919	0
0.205214	6	4	0	4.14788e-10	874450	0
0.205214	6	6	0	7.48547e-10	1.57808e+06	0
0.205214	6	41	0	6.74803e-06	1.42261e+10	0
0.205214	7	42	0	6.74803e-06	1.42261e+10	0
0.205214	7	44	0	6.74803e-06	1.42261e+10	0
0.205214	7	50	0	4.02326e-10	848178	0
0.205214	8	16	0	2.46394e-10	519445	0
0.205214	8	17	0	1.70243e-09	3.58904e+06	0
0.205214	8	43	0	6.74803e-06	1.42261e+10	0
0.205214	9	20	0	9.03617e-10	1.90499e+06	0
0.205214	10	36	0	5.03173e-10	1.06078e+06	0
0.205214	10	38	0	4.99491e-10	1.05302e+06	0
0.205214	10	45	0	6.74803e-06	1.42261e+10	0
0.205214	11	46	0	6.74803e-06	1.42261e+10	0
0.205214	11	57	0	7.28532e-10	1.53588e+06	0
0.205214	12	47	0	6.74803e-06	1.42261e+10	0
0.205214	13	22	0	2.70128e-10	569479	0
0.205214	13	48	0	6.74803e-06	1.42261e+10	0
0.206214	1	2	0	3.40276e-10	717365	0
0.206214	1	5	0	4.04664e-10	853106	0
0.206214	2	35	0	4.74919e-10	1.00122e+06	0
0.206214	2	37	0	5.58167e-10	1.17672e+06	0
0.206214	2	39	0	3.60648e-10	760312	0
0.206214	3	1	0	4.61741e-10	973435	0
0.206214	3	3	0	3.83496e-10	808480	0
0.206214	3	7	0	3.80542e-10	802254	0
0.206214	3	8	0	6.56625e-10	1.38429e+06	0
0.206214	3	9	0	4.98243e-10	1.05039e+06	0
0.206214	3	10	0	2.98384e-10	629049	0
0.206214	3	13	0	3.70747e-10	781604	0
0.206214	3	14	0	4.05627e-10	855137	0
0.206214	3	15	0	4.34232e-10	915441	0
0.206214	3	25	0	2.98483e-10	629257	0
0.206214	3	26	0	3.19764e-10	674121	0
0.206214	3	27	0	3.22939e-10	680815	0
0.206214	3	28	0	3.96313e-10	835501	0
0.206214	3	31	0	4.13634e-10	872017	0
0.206214	3	32	0	4.35997e-10	919162	0
0.206214	3	33	0	3.3666e-10	709743	0
0.206214	3	34	0	3.56156e-10	750843	0
0.206214	3	40	0	2.72194e-10	573834	0
0.206214	3	49	0	4.76199e-10	1.00392e+06	0
0.206214	3	52	0	2.42157e-10	510512	0
0.206214	3	53	0	3.66014e-10	771624	0
0.206214	3	54	0	4.41992e-10	931800	0
0.206214	3	55	0	3.1693e-10	668146	0
0.206214	3	56	0	3.20292e-10	675234	0
0.206214	3	58	0	3.93153e-10	828840	0
0.206214	3	59	0	3.3013e-10	695974	0
0.206214	3	60	0	3.9706e-10	837076	0
0.206214	4	21	0	5.23769e-10	1.1042e+06	0
0.206214	4	23	0	5.40294e-10	1.13904e+06	0
0.206214	4	24	0	5.91134e-10	1.24622e+06	0
0.206214	4	29	0	3.18346e-10	671132	0
0.206214	4	30	0	8.88012e-10	1.87209e+06	0
0.206214	5	11	0	5.14664e-10	1.08501e+06	0
0.206214	5	12	0	5.82023e-10	1.22701e+06	0
0.206214	5	18	0	5.19861e-10	1.09596e+06	0
0.206214	5	19	0	3.26917e-10	689201	0
0.206214	5	51	0	4.18383e-10	882030	0
0.206214	6	4	0	4.12985e-10	870649	0
0.206214	6	6	0	7.49158e-10	1.57936e+06	0
0.206214	6	41	0	6.74803e-06	1.42261e+10	0
0.206214	7	42	0	6.74803e-06	1.42261e+10	0
0.206214	7	44	0	6.74803e-06	1.42261e+10	0
0.206214	7	50	0	4.01621e-10	846691	0
0.206214	8	16	0	2.45147e-10	516816	0
0.206214	8	17	0	1.70243e-09	3.58904e+06	0
0.206214	8	43	0	6.74803e-06	1.42261e+10	0
0.206214	9	20	0	9.03617e-10	1.90499e+06	0
0.206214	10	36	0	5.00513e-10	1.05517e+06	0
0.206214	10	38	0	5.00585e-10	1.05533e+06	0
0.206214	10	45	0	6.74803e-06	1.42261e+10	0
0.206214	11	46	0	6.74803e-06	1.42261e+10	0
0.206214	11	57	0	7.28519e-10	1.53585e+06	0
0.206214	12	47	0	6.74803e-06	1.42261e+10	0
0.206214	13	22	0	2.70151e-10	569529	0
0.206214	13	48	0	6.74803e-06	1.42261e+10	0
0.207214	1	2	0	3.40129e-10	717056	0
0.207214	1	5	0	4.05308e-10	854465	0
0.207214	2	35	0	4.75744e-10	1.00296e+06	0
0.207214	2	37	0	5.57746e-10	1.17583e+06	0
0.207214	2	39	0	3.59855e-10	758640	0
0.207214	3	1	0	4.61741e-10	973435	0
0.207214	3	3	0	3.838e-10	809122	0
0.207214	3	7	0	3.80542e-10	802254	0
0.207214	3	8	0	6.57009e-10	1.3851e+06	0
0.207214	3	9	0	4.98243e-10	1.05039e+06	0
0.207214	3	10	0	2.97967e-10	628169	0
0.207214	3	13	0	3.70747e-10	781604	0
0.207214	3	14	0	4.05627e-10	855137	0
0.207214	3	15	0	4.34232e-10	915441	0
0.207214	3	25	0	2.98067e-10	628379	0
0.207214	3	26	0	3.193e-10	673144	0
0.207214	3	27	0	3.22359e-10	679592	0
0.207214	3	28	0	3.96342e-10	835562	0
0.207214	3	31	0	4.13494e-10	871723	0
0.207214	3	32	0	4.36178e-10	919544	0
0.207214	3	33	0	3.36323e-10	709031	0
0.207214	3	34	0	3.55689e-10	749857	0
0.207214	3	40	0	2.71736e-10	572869	0
0.207214	3	49	0	4.76199e-10	1.00392e+06	0
0.207214	3	52	0	2.41926e-10	510025	0
0.207214	3	53	0	3.65423e-10	770380	0
0.207214	3	54	0	4.42091e-10	932010	0
0.207214	3	55	0	3.17601e-10	669561	0
0.207214	3	56	0	3.19621e-10	673821	0
0.207214	3	58	0	3.93436e-10	829436	0
0.207214	3	59	0	3.29941e-10	695578	0
0.207214	3	60	0	3.9706e-10	837076	0
0.207214	4	21	0	5.24208e-10	1.10513e+06	0
0.207214	4	23	0	5.41008e-10	1.14054e+06	0
0.207214	4	24	0	5.91134e-10	1.24622e+06	0
0.207214	4	29	0	3.18025e-10	670456	0
0.207214	4	30	0	8.90617e-10	1.87759e+06	0
0.207214	5	11	0	5.15118e-10	1.08596e+06	0
0.207214	5	12	0	5.82023e-10	1.22701e+06	0
0.207214	5	18	0	5.19575e-10	1.09536e+06	0
0.207214	5	19	0	3.26531e-10	688389	0
0.207214	5	51	0	4.18911e-10	883142	0
0.207214	6	4	0	4.11192e-10	866869	0
0.207214	6	6	0	7.49737e-10	1.58058e+06	0
0.207214	6	41	0	6.74803e-06	1.42261e+10	0
0.207214	7	42	0	6.74803e-06	1.42261e+10	0
0.207214	7	44	0	6.74803e-06	1.42261e+10	0
0.207214	7	50	0	4.00915e-10	845202	0
0.207214	8	16	0	2.43909e-10	514206	0
0.207214	8	17	0	1.70243e-09	3.58904e+06	0
0.207214	8	43	0	6.74803e-06	1.42261e+10	0
0.207214	9	20	0	9.03617e-10	1.90499e+06	0
0.207214	10	36	0	4.97866e-10	1.04959e+06	0
0.207214	10	38	0	5.01682e-10	1.05764e+06	0
0.207214	10	45	0	6.74803e-06	1.42261e+10	0
0.207214	11	46	0	6.74803e-06	1.42261e+10	0
0.207214	11	57	0	7.28502e-10	1.53582e+06	0
0.207214	12	47	0	6.74803e-06	1.42261e+10	0
0.207214	13	22	0	2.70174e-10	569576	0
0.207214	13	48	0	6.74803e-06	1.42261e+10	0
0.208214	1	2	0	3.39983e-10	716747	0
0.208214	1	5	0	4.05954e-10	855827	0
0.208214	2	35	0	4.7657e-10	1.0047e+06	0
0.208214	2	37	0	5.57325e-10	1.17495e+06	0
0.208214	2	39	0	3.59064e-10	756973	0
0.208214	3	1	0	4.61741e-10	973435	0
0.208214	3	3	0	3.84105e-10	809764	0
0.208214	3	7	0	3.80542e-10	802254	0
0.208214	3	8	0	6.57392e-10	1.3859e+06	0
0.208214	3	9	0	4.98243e-10	1.05039e+06	0
0.208214	3	10	0	2.9755e-10	627290	0
0.208214	3	13	0	3.70747e-10	781604	0
0.208214	3	14	0	4.05627e-10	855137	0
0.208214	3	15	0	4.34232e-10	915441	0
0.208214	3	25	0	2.97651e-10	627503	0
0.208214	3	26	0	3.18837e-10	672168	0
0.208214	3	27	0	3.2178e-10	678371	0
0.208214	3	28	0	3.96371e-10	835623	0
0.208214	3	31	0	4.13355e-10	871429	0
0.208214	3	32	0	4.36359e-10	919925	0
0.208214	3	33	0	3.35986e-10	708321	0
0.208214	3	34	0	3.55222e-10	748873	0
0.208214	3	40	0	2.71279e-10	571905	0
0.208214	3	49	0	4.76199e-10	1.00392e+06	0
0.208214	3	52	0	2.41695e-10	509538	0
0.208214	3	53	0	3.64834e-10	769137	0
0.208214	3	54	0	4.42191e-10	932219	0
0.208214	3	55	0	3.18273e-10	670979	0
0.208214	3	56	0	3.18952e-10	672411	0
0.208214	3	58	0	3.93719e-10	830032	0
0.208214	3	59	0	3.29753e-10	695181	0
0.208214	3	60	0	3.9706e-10	837076	0
0.208214	4	21	0	5.24647e-10	1.10605e+06	0
0.208214	4	23	0	5.41723e-10	1.14205e+06	0
0.208214	4	24	0	5.91134e-10	1.24622e+06	0
0.208214	4	29	0	3.17705e-10	669781	0
0.208214	4	30	0	8.93231e-10	1.8831e+06	0
0.208214	5	11	0	5.15573e-10	1.08692e+06	0
0.208214	5	12	0	5.82023e-10	1.22701e+06	0
